bike_name,price,city,kms_driven,owner,age,power,brand
256,179000.0,44,3400.0,0,2.0,200.0,11
323,70000.0,289,45000.0,0,8.0,350.0,17
9,45000.0,185,36100.0,0,6.0,220.0,1
288,78000.0,257,8500.0,0,13.0,350.0,17
16,110000.0,44,2550.0,0,2.0,220.0,1
295,85000.0,118,18000.0,0,6.0,350.0,17
72,38000.0,118,35000.0,0,9.0,200.0,1
323,55346.0,308,38000.0,0,10.0,350.0,17
277,28000.0,191,45000.0,0,2.0,110.0,15
140,37000.0,282,10800.0,0,8.0,150.0,5
348,97000.0,118,4400.0,0,3.0,150.0,18
422,40000.0,224,357000.0,0,8.0,150.0,21
329,90000.0,118,15300.0,0,7.0,350.0,17
370,60000.0,282,30000.0,0,5.0,160.0,19
197,21900.0,163,30000.0,2,7.0,125.0,6
9,40000.0,6,64000.0,0,7.0,220.0,1
89,475000.0,282,11500.0,2,3.0,600.0,2
229,34500.0,6,17056.0,0,5.0,110.0,6
449,25000.0,431,172082.0,0,9.0,150.0,21
333,30200.0,44,45000.0,0,7.0,150.0,18
10,65000.0,182,35000.0,0,5.0,220.0,1
56,25000.0,282,38000.0,0,9.0,150.0,1
272,935000.0,36,2500.0,0,2.0,900.0,12
288,107100.0,118,15438.0,2,3.0,350.0,17
65,80000.0,118,6000.0,0,3.0,220.0,1
323,88000.0,118,19000.0,0,5.0,350.0,17
249,94700.0,54,32700.0,0,4.0,200.0,11
122,12200.0,5,46643.0,0,14.0,100.0,5
295,106000.0,118,19000.0,0,6.0,350.0,17
65,29500.0,185,40700.0,0,12.0,220.0,1
264,290000.0,128,11350.0,0,7.0,650.0,12
323,110000.0,118,1600.0,0,6.0,350.0,17
50,27000.0,423,44410.0,0,10.0,125.0,1
323,65000.0,194,9800.0,0,11.0,350.0,17
326,150000.0,44,15000.0,0,3.0,350.0,17
147,55786.0,395,68000.0,2,7.0,223.0,5
61,45000.0,44,17757.0,0,8.0,180.0,1
433,146000.0,100,3900.0,0,2.0,250.0,21
323,115000.0,44,23700.0,0,4.0,350.0,17
20,30000.0,308,8250.0,0,3.0,100.0,1
76,93100.0,282,10000.0,0,5.0,200.0,1
464,82000.0,282,4300.0,2,3.0,150.0,21
318,260000.0,301,3800.0,0,2.0,650.0,17
197,38000.0,44,33000.0,0,7.0,125.0,6
251,130000.0,149,17500.0,2,4.0,250.0,11
313,118000.0,167,19000.0,0,4.0,410.0,17
54,14700.0,118,10000.0,0,11.0,135.0,1
323,85000.0,100,54000.0,0,6.0,350.0,17
64,40000.0,282,27000.0,0,7.0,220.0,1
431,50000.0,44,19000.0,0,6.0,150.0,21
323,71800.0,282,43500.0,0,7.0,350.0,17
323,71800.0,282,43500.0,0,7.0,350.0,17
72,75000.0,44,11575.0,0,4.0,200.0,1
102,1350000.0,282,190.0,0,1.0,1100.0,3
413,790000.0,282,19000.0,0,3.0,765.0,20
79,47000.0,44,8600.0,0,4.0,150.0,1
56,60000.0,330,2000.0,0,2.0,150.0,1
338,96700.0,423,5100.0,0,1.0,150.0,18
174,31900.0,118,9000.0,0,5.0,100.0,5
56,35000.0,436,44480.0,0,13.0,150.0,1
